,precision,recall,f1-score,support
0,0.9523809523809523,1.0,0.975609756097561,60.0
1,0.9886363636363636,0.9666666666666667,0.9775280898876404,720.0
10,0.995334370139969,0.9696969696969697,0.9823484267075978,660.0
11,0.9852579852579852,0.9547619047619048,0.969770253929867,420.0
12,0.9956076134699854,0.9855072463768116,0.9905316824471959,690.0
13,0.9917127071823204,0.9972222222222222,0.9944598337950139,720.0
14,0.9926470588235294,1.0,0.996309963099631,270.0
15,0.9859154929577465,1.0,0.9929078014184397,210.0
16,1.0,0.9933333333333333,0.9966555183946488,150.0
17,0.9970149253731343,0.9277777777777778,0.9611510791366906,360.0
18,0.9774011299435028,0.8871794871794871,0.9301075268817204,390.0
19,0.7761194029850746,0.8666666666666667,0.8188976377952756,60.0
2,0.9564068692206077,0.9653333333333334,0.9608493696084937,750.0
20,0.9270833333333334,0.9888888888888889,0.956989247311828,90.0
21,0.7530864197530864,0.6777777777777778,0.7134502923976608,90.0
22,1.0,1.0,1.0,120.0
23,0.874251497005988,0.9733333333333334,0.9211356466876972,150.0
24,0.9438202247191011,0.9333333333333333,0.9385474860335196,90.0
25,0.9832635983263598,0.9791666666666666,0.9812108559498957,480.0
26,0.890625,0.95,0.9193548387096774,180.0
27,0.8333333333333334,0.9166666666666666,0.873015873015873,60.0
28,0.9933774834437086,1.0,0.9966777408637874,150.0
29,0.9770114942528736,0.9444444444444444,0.96045197740113,90.0
3,0.9732739420935412,0.9711111111111111,0.9721913236929922,450.0
30,0.868421052631579,0.88,0.8741721854304636,150.0
31,0.9209621993127147,0.9925925925925926,0.9554367201426025,270.0
32,1.0,1.0,1.0,60.0
33,0.9722222222222222,1.0,0.9859154929577465,210.0
34,0.9836065573770492,1.0,0.9917355371900827,120.0
35,1.0,0.9923076923076923,0.9961389961389961,390.0
36,0.9836065573770492,1.0,0.9917355371900827,120.0
37,0.9836065573770492,1.0,0.9917355371900827,60.0
38,0.9826839826839827,0.9869565217391304,0.9848156182212582,690.0
39,0.9438202247191011,0.9333333333333333,0.9385474860335196,90.0
4,0.9878234398782344,0.9833333333333333,0.9855732725892179,660.0
40,0.8163265306122449,0.8888888888888888,0.851063829787234,90.0
41,1.0,0.9833333333333333,0.9915966386554622,60.0
42,0.8823529411764706,1.0,0.9375,90.0
5,0.9543307086614173,0.9619047619047619,0.958102766798419,630.0
6,1.0,0.92,0.9583333333333334,150.0
7,0.9282700421940928,0.9777777777777777,0.9523809523809523,450.0
8,0.970917225950783,0.9644444444444444,0.967670011148272,450.0
9,0.99375,0.99375,0.99375,480.0
accuracy,0.9693586698337292,0.9693586698337292,0.9693586698337292,0.9693586698337292
macro avg,0.95154096371643,0.9606393141835505,0.9554966543360827,12630.0
weighted avg,0.9701579527551265,0.9693586698337292,0.9694178328367494,12630.0
